Control_CR,Control_RPS,Control_CMR,Variant_CR,Variant_RPS,Variant_CMR
0.15,10.97,0.32,0.15,11.35,0.33
0.15,10.83,0.31,0.15,11.24,0.32
0.14,10.24,0.30,0.15,11.00,0.32
0.15,10.40,0.31,0.15,10.73,0.32
0.15,11.29,0.31,0.15,11.25,0.34
0.14,10.23,0.31,0.14,10.53,0.30
0.14,10.43,0.31,0.14,10.91,0.32
0.14,10.87,0.29,0.15,11.73,0.33
0.14,11.03,0.29,0.15,11.64,0.32
0.15,11.14,0.29,0.14,10.96,0.29
0.15,11.16,0.31,0.14,10.98,0.29
0.14,10.31,0.31,0.13,9.48,0.30
0.14,10.76,0.32,0.14,11.19,0.33
0.15,11.99,0.34,0.15,11.26,0.33
0.15,11.40,0.33,0.15,11.56,0.33
0.15,11.27,0.33,0.15,10.84,0.31
0.13,9.59,0.29,0.13,9.41,0.29
