Control_CR,Control_RPS,Control_CMR,Variant_CR,Variant_RPS,Variant_CMR
0.0458872,4.928445472,0.0458872,0.051768034,5.513212744,0.051768034
0.047866805,4.585742155,0.047866805,0.053428447,5.263949193,0.053428447
0.049258295,5.363447663,0.049258295,0.051702681,5.578603754,0.051702681
0.044466019,3.571072814,0.044466019,0.045268312,4.153498469,0.045268312
0.039720453,3.647246786,0.039720453,0.047924188,4.025069221,0.047924188
0.037767117,3.446634317,0.037767117,0.038284972,3.15623908,0.038284972
0.032343041,5.26563405,0.032343041,0.034508627,5.269404217,0.034508627
0.03537109,3.927097018,0.03537109,0.037753908,4.194612011,0.037753908
0.028679351,5.970116483,0.028679351,0.031992038,5.619398036,0.031992038
0.032565184,5.006893475,0.032565184,0.033348105,5.024583797,0.033348105
0.036988343,3.872039677,0.036988343,0.035200836,3.591346076,0.035200836
0.043321971,2.659831303,0.043321971,0.040430607,2.441121268,0.040430607
0.03620891,3.052733344,0.03620891,0.043591686,3.089101961,0.043591686
0.035863328,4.258988217,0.035863328,0.039151925,4.804223572,0.039151925
0.032392894,4.00373388,0.032392894,0.041436818,3.856275126,0.041436818
0.036807744,4.770620792,0.036807744,0.035562037,4.485092531,0.035562037
0.044096069,3.458331321,0.044096069,0.0440247,3.357301163,0.0440247
0.046911212,2.567943893,0.046911212,0.050882493,2.54720229,0.050882493
