Control_CR,Control_RPS,Control_CMR,Variant_CR,Variant_RPS,Variant_CMR
5.15911707,5.15911707,5.15911707,6.07272521,6.07272521,6.07272521
4.856904714,4.856904714,4.856904714,5.456275938,5.456275938,5.456275938
5.625994133,5.625994133,5.625994133,5.998571818,5.998571818,5.998571818
4.117338143,4.117338143,4.117338143,4.266039816,4.266039816,4.266039816
3.831460656,3.831460656,3.831460656,4.097837092,4.097837092,4.097837092
3.649397412,3.649397412,3.649397412,3.630335094,3.630335094,3.630335094
5.670590496,5.670590496,5.670590496,5.428664182,5.428664182,5.428664182
4.260441332,4.260441332,4.260441332,4.288083923,4.288083923,4.288083923
6.157031305,6.157031305,6.157031305,6.103304965,6.103304965,6.103304965
5.181237763,5.181237763,5.181237763,5.44070628,5.44070628,5.44070628
3.705518596,3.705518596,3.705518596,3.520996647,3.520996647,3.520996647
2.504376175,2.504376175,2.504376175,2.249824175,2.249824175,2.249824175
2.958928754,2.958928754,2.958928754,2.918558597,2.918558597,2.918558597
4.591507609,4.591507609,4.591507609,4.724439642,4.724439642,4.724439642
4.234568345,4.234568345,4.234568345,4.059563835,4.059563835,4.059563835
4.948633497,4.948633497,4.948633497,4.715655546,4.715655546,4.715655546
3.669223082,3.669223082,3.669223082,3.765625568,3.765625568,3.765625568
3.002310373,3.002310373,3.002310373,2.892210954,2.892210954,2.892210954
