Control_CR,Control_RPS,Control_CMR,Variant_CR,Variant_RPS,Variant_CMR
0.184387618,19.77739794,11.87572903,0.169106402,17.94131527,13.02796592
0.173208723,18.80805192,12.25275182,0.169043191,19.09318868,13.19322174
0.176202416,19.22800547,12.08661956,0.190862709,24.74843228,13.31400742
0.177313578,19.25376245,12.7306291,0.164793112,18.14621143,13.11695767
0.174085295,18.68776742,12.88813796,0.176867687,18.85576283,13.99594959
0.177136752,23.51159829,11.69059829,0.179243243,20.75469838,12.97621622
0.177261879,25.11782382,12.11195487,0.192235441,21.64141098,13.02045502
0.164194479,18.05585084,11.79892872,0.183601817,27.043228,12.51920694
0.16194655,18.76742587,9.757877942,0.165223097,19.19790289,10.24055118
0.195902229,23.20390187,11.13587347,0.186390012,21.64331985,11.53349745
0.169375143,20.29951934,11.83749142,0.169663439,20.7185408,12.05739972
0.174258351,19.03646111,12.23826209,0.175318761,21.44191712,12.38433515
0.093190626,10.84027496,11.42369441,0.115217801,12.8868301,11.75862719
0.177386594,21.707478,11.61205146,0.180550715,20.08165737,11.91233879
0.168608757,18.94203919,12.18732345,0.17673533,22.11175351,11.95101264
0.193872509,21.1023917,11.28430242,0.192164481,23.25249636,11.04532945
0.199388846,22.57851286,11.81130634,0.20221886,19.99017146,12.04034291
0.191189691,20.75117471,12.29487564,0.213849908,22.84492373,12.37156803
0.199033267,24.75357407,12.23883992,0.216068867,23.72504161,11.95982783
0.202002503,22.98388736,11.74818523,0.212268994,29.51990246,11.91683778
0.219259259,23.3963679,11.85679012,0.209447638,23.65976006,12.10072482
0.195945946,20.98224012,11.52546778,0.199450824,24.53851473,12.00399401
0.19388576,21.64217216,10.62670957,0.197617091,21.8911401,10.99055053
0.223609802,26.32578935,11.39066918,0.211079274,24.48679322,10.93505253
0.204021448,31.02330563,11.38927614,0.214873765,30.48760977,11.48655324
0.229303857,26.11795861,11.52634055,0.238639012,25.19813097,11.98135633
0.254401408,32.00549824,11.48556338,0.254098361,33.69752823,11.92641166
0.177537932,19.07927577,9.874550289,0.17015913,18.71614306,9.684102726
0.159387663,19.51994747,9.871979589,0.14732992,16.95802926,9.494367228
0.174661029,19.66175536,10.047383,0.173804999,20.36010232,10.19558544
0.218186436,23.63067818,11.88392177,0.191176471,23.19028415,11.93295115
0.18928875,19.35793709,10.92179088,0.188668555,21.6695949,11.04560907
0.223507757,27.73736261,11.17749145,0.230355221,33.89956943,11.51668461
0.190340909,20.28477746,10.88991477,0.227046263,27.2363962,11.18505338
0.214703237,28.74390513,10.8370054,0.197656074,23.06500789,11.08361506
0.194315929,22.52560035,10.99889844,0.222296544,28.62257748,10.75986622
0.22093465,24.43017097,10.66717325,0.224914155,27.09202213,11.06810378
0.236277342,29.41411061,10.88113908,0.21791559,25.88028854,11.19186047
0.206930693,22.00256683,11.18267327,0.194782168,25.97940983,11.30167173
0.199711954,24.31665867,10.87133941,0.200573066,26.05960602,11.28892073
0.228960668,28.16030323,11.29993408,0.194148936,22.56393395,11.40514184
0.209226771,28.28965345,11.34372969,0.199788807,22.34311299,11.56895459
0.193877551,21.14470039,11.46721667,0.198994096,21.55441286,11.08725126
0.22732599,34.59652215,10.95828451,0.214975277,25.56836826,11.30939487
0.211174009,22.16580605,10.99015506,0.201663726,21.16469624,11.84446685
0.203214383,23.15778534,11.36883683,0.212213319,26.68655982,11.25808234
0.185721676,20.33801086,11.26668391,0.198301035,39.50777276,11.23201487
0.214450069,25.74921537,11.38495168,0.204441392,23.94033425,11.16712454
0.189380911,20.4225258,11.71646604,0.190569318,23.5851608,11.64037375
