GroupA,GroupB
88167.64,86813.43
90560.77,87025.1
84353.26,102148.96
79267.74,72400.15
80189.21,91000.47
110034.28,89853.6
115768.05,91523.62
87643.1,90585.12
141149.81,145935.93
129106.51,142621.58
88688.6,86579.64
81495.09,94156.87
58743.45,77740.04
128247.78,114619.79
107287.71,114085.84
128112.62,133345.69
88665.82,83047.01
69246.67,80402.67
87058.32,87164.79
91820.63,95521.34
94755.29,97293.23
80739.66,78897.83
107604.88,103419.29
111726.65,96628.86
115716.93,93484.06
111053.56,131174.25
181791.23,162833.48
121973.81,180335.58
130061.41,145711.94
134859.98,142767.12
93033.98,95156.47
68314.16,76901.22
105485.19,72955.99
85682.9,93055.14
127852.89,124989.7
102243.7,117208.61
128600.42,134328.51
142540.78,125541.79
88890.37,128386.84
101303.2,87589.87
128157.54,102467.18
130613.33,100278.75
97392.49,102389.83
147623.36,109827.73
90059.67,97601.91
85012.23,137124.06
78626.75,99835.74
111906.09,95685.36
95005.59,97276.38
